relative_path,source_seconds,separator_start,separator_end,output_seconds_target,source_bytes,output_bytes,status
a/abandon.mp3,2.820000,0.804853,1.921723,0.904853,11511,3988,silence_separator
a/ability.mp3,2.820000,0.783764,1.935828,0.883764,11511,3883,silence_separator
a/able.mp3,2.300000,0.528027,1.679909,0.628027,9421,2838,silence_separator
a/abnormal.mp3,2.770000,0.763810,1.916508,0.863810,11302,3779,silence_separator
a/aboard.mp3,2.510000,0.647166,1.756372,0.747166,10257,3361,silence_separator
a/abolish.mp3,2.870000,0.816100,1.928662,0.916100,11720,3988,silence_separator
a/about.mp3,2.510000,0.643673,1.748889,0.743673,10257,3361,silence_separator
a/above.mp3,2.480000,0.635737,1.737732,0.735737,10152,3361,silence_separator
a/abroad.mp3,2.610000,0.699456,1.829841,0.799456,10675,3570,silence_separator
a/abrupt.mp3,2.560000,0.667619,1.802449,0.767619,10466,3465,silence_separator
a/absence.mp3,2.820000,0.796236,1.930068,0.896236,11511,3988,silence_separator
a/absent.mp3,2.590000,0.685714,1.802041,0.785714,10570,3465,silence_separator
a/absolute.mp3,2.900000,0.846168,1.958458,0.946168,11824,4197,silence_separator
a/absolutely.mp3,3.190000,0.972381,2.125034,1.072381,12974,4615,silence_separator
a/absorb.mp3,2.480000,0.658776,1.722177,0.758776,10152,3361,silence_separator
a/abstract.mp3,2.900000,0.843764,1.973197,0.943764,11824,4197,silence_separator
a/absurd.mp3,2.560000,0.669433,1.779955,0.769433,10466,3465,silence_separator
a/abundance.mp3,3.030000,0.895238,2.027710,0.995238,12347,4406,silence_separator
a/abundant.mp3,2.850000,0.803764,1.927075,0.903764,11616,3988,silence_separator
a/abuse.mp3,2.690000,0.738639,1.862041,0.838639,10988,3779,silence_separator
a/academic.mp3,3.080000,0.937279,2.062358,1.037279,12556,4510,silence_separator
a/academy.mp3,2.980000,0.867937,2.008073,0.967937,12138,4197,silence_separator
a/accelerate.mp3,3.210000,1.001633,2.129388,1.101633,13078,4823,silence_separator
a/acceleration.mp3,3.550000,1.160000,2.284580,1.260000,14437,5451,silence_separator
a/accent.mp3,2.740000,0.765125,1.887800,0.865125,11197,3883,silence_separator
a/accept.mp3,2.740000,0.761179,1.896961,0.861179,11197,3779,silence_separator
a/acceptable.mp3,3.130000,0.938912,2.095782,1.038912,12765,4510,silence_separator
a/acceptance.mp3,3.270000,1.019002,2.159683,1.119002,13287,4823,silence_separator
